IDEnquestat	IDCol·lector	DataInici	DataFinal	AdreçaElectrònica	Nom	Cognoms	DadesPersonalitzades	Respecte a l'accés a l'habitatge, creus que al teu barri?	Quin creus que és el principal problema en relacio a l'accés a l'habitatge? (Tria fins a dues opcions)								Creus que la situació respecte a l'ensenyament públic (incloses totes les etapes) al barri és?	Quin creus que és el principal problema en relació  a l'accés a l’escola pública? (Tria fins a dues opcions)						Creus que la situació de l’atenció sanitària pública al teu barri és?	Quin creus que és el principal problema en relació a l'accés a l’atenció sanitària? (Tria fins a dues opcions)							Creus que les tarifes actuals del transport públic són?	Com valoraries la qualitat de l'aire que es respira al teu barri?	El nivell de soroll (diürn i nocturn) en el teu barri és?	Creus que el nivell de turisme al teu barri és?	Quin creus que és el principal inconvenient en relació al nivell de turisme al teu barri? (Tria fins a dues opcions)								Quins tipus d'espai fan més falta al barri? (Tria fins a dues opcions)							Les possibilitats per què la ciutadania opini i influeixi en les polítiques municipals actualment són?	Creus que les instàncies de vida associativa (cooperatives, entitats culturals, etc) al teu barri són?	Estaries d'acord amb que el regidor del districte sigui escollit directament per la gent?	Quins altres problemes no esmentats en el qüestionari són importants al barri on vius? I per la ciutat?	Tens alguna proposta per al barri / districte que es pogués implementar en el futur?	Quants anys tens?	Identifiques el teu gènere com		Barri		Codi Postal	Quin és el nivell màxim d'educació que has obtingut?	Quina és la teva situació laboral?		Participes en alguna associació / organització?
3721202241	60358171	28/01/2015 06:59:20	28/01/2015 07:30:48					No hi ha problemes importants				Dificultats accés als crèdits			Excés de pisos buits		Adequada							Bona								Elevades		Molt alt	Ni perjudicial ni beneficiós								botigues de souvenirs, no culturals			Centres Civics					Insuficients	Insuficients	Sí	falços carrers peatonals		56	Home		El Putxet i el Farró		8006	Universitària	Treballador per compte propi		No
3721197489	60358171	28/01/2015 06:59:20	28/01/2015 07:16:34					No hi ha problemes importants				Dificultats accés als crèdits			Excés de pisos buits		Adequada							Bona								Elevades		Molt alt	Ni perjudicial ni beneficiós								botigues de souvenirs, no culturals			Centres Civics					Insuficients	Insuficients	Sí	falços carrers peatonals		56	Home		El Putxet i el Farró		8006	Universitària	Treballador per compte propi		No
3721191608	60358171	28/01/2015 06:59:20	28/01/2015 07:12:07					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Adequada							Adequada	Manca de centres d'atenció primària								Dolenta	Normal	Beneficiós								botigues de souvenirs, no culturals			Centres Civics		Zones de jocs per a nens			Molt insuficients	Insuficients	No	manca de relació dels polítics i regidors amb la gent	parlar i tenir contacte amb la gent del barri	61	Home		El Putxet i el Farró		8023	Universitària	Jubilat / Pensionista		Sí
3721186580	60358171	28/01/2015 06:59:20	28/01/2015 07:07:17					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra							Adequada	Poques places						Bona		Manca de places/serveis hospitalaris						Massa elevades	Dolenta	Molt alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes									Sí	ambient a les plaçes (borratxos)	crear espais per gossos	70	Dona		El Putxet i el Farró		8012	Universitària	Jubilat / Pensionista		No
3720982627	60358171	28/01/2015 03:58:47	28/01/2015 04:09:58					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Dolenta	Poques places						Adequada			Manca de serveis d'urgències					Massa elevades	Dolenta	Normal	Beneficiós							Cap		Parcs / zones verdes							Molt insuficients	Adequades	Sí	Molts sense sostre		30	Dona		La Bordeta		8014	Universitària	Altres (especifiqueu)	Treballador a l'estranger	No
3720391874	60358171	27/01/2015 22:19:14	27/01/2015 22:22:04					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Dolenta	Poques places	Lluny de casa	Estat dels edificis i instal·lacions				Adequada			Manca de serveis d'urgències	Durada dels temps d'espera	Problemes d'atenció / tracte			Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls				Parcs / zones verdes		Centres Civics	Zones per a esports	Zones de jocs per a nens			Insuficients	Insuficients	Sí	Més protagonisme dels infants més petits (0-6 anys)	Espais familiars, ludoteques	56	Dona		El Camp de l'Arpa del Clot		8026	Universitària	Altres (especifiqueu)	Funcionari	Sí
3720280436	60358171	27/01/2015 21:27:25	27/01/2015 21:41:44					Hi ha greus problemes		Manca d'oferta de lloguer / compra	Manca d'oferta pública / cooperativa						Dolenta	Poques places		Estat dels edificis i instal·lacions				Dolenta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris						Massa elevades	Dolenta	Normal	Perjudicial	Nivell excessiu			Saturació dels espais públics					Parcs / zones verdes			Zones per a esports				Molt insuficients	Insuficients	Sí	Com a la resta de la ciutat, hi han moltes persones vivint al carrer o demanant a les quals se'ls haurien d'habilitat espais per dormir adequadament i on rebre noves oportunitats.	Rehabilitació dels espais abandonats com els propers a Glòries.	24	Home		La Sagrada Família		8013	Universitària	Treballador per compte aliè		No
3720116470	60358171	27/01/2015 20:36:55	27/01/2015 20:48:49					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places				Desigualtat entre escoles		Adequada			Manca de serveis d'urgències			Problemes de qualitat		Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós		Nivell insuficient											Zones de jocs per a nens		ludoteques, centres infantils de lleure	Insuficients	Insuficients	Sí	seguretat i civisme	ludoteques municipals i centres infantils d'educació no formal	41	Dona		La Sagrera		8027	Universitària	Treballador per compte aliè		No
3720030592	60358171	27/01/2015 20:08:35	27/01/2015 20:16:52					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta			Estat dels edificis i instal·lacions	Mala qualitat de l'ensenyament			Bona		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Dolenta	Alt	Perjudicial	Nivell excessiu				Sorolls							Zones per a esports			APARCAMENT GRATUÏT	Insuficients	Insuficients	Sí	ATOMITZACIÓ	METRO	38	Home		Sant Gervasi		8022	Universitària	Aturat		No
3719802778	60358171	27/01/2015 18:52:21	27/01/2015 18:58:44					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra				Condicions dels habitatges				Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta					Problemes d'atenció / tracte	Problemes de qualitat		Adequades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics									Zones de jocs per a nens	Places		Molt insuficients	Adequades	Sí	Enlloc es té en compte la diversitat d'idees, tothom vol imposar un model determinat	Vida veïnal al carrer	46	Home		El Carmel		8032	Universitària	Altres (especifiqueu)	Empresari	Sí
3719781088	60358171	27/01/2015 18:44:57	27/01/2015 19:02:12					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Adequada				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Adequada				Durada dels temps d'espera			No poder tenir continuitat del metge d'Atenció Primària. Els canvien continuamet, suposo per no tenir contractes fixos.	Elevades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)			Augment de les escombraries, brutícia									Places aparcament Zona Verda. Moltes de les que hi havia han estat reemplaçades per Zona Blava i CARRILS BICI DE 2 SENTITS	Molt insuficients	Insuficients	Sí	La neteja dels carrers, molt poques places de Zona Verda si ho comparem amb els barris per sobre la Diagonal.	Eliminar els carrils bici de 2 sentits. Que els agents que multen horaris Zona Verda i Blava estiguin a la Zona, perque mai els trobes quan els necessites i NO DEIXEN AVÍS QUAN ET MULTEN	77	Dona		El Fort Pienc		8013	Universitària	Jubilat / Pensionista		No
3719562756	60358171	27/01/2015 17:32:18	27/01/2015 17:46:52					Hi ha greus problemes			Manca d'oferta pública / cooperativa			Desnonaments			Dolenta			Estat dels edificis i instal·lacions				Adequada					Problemes d'atenció / tracte			Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap									Insuficients	Adequades	Sí	Inversions en obres públiques que no se sap amb quins criteris de prioritat es fan.	Control de les inversions Municipals en obres públiques, etc.	61		Crec que no ha d'importar aquesta dada.	Sant Andreu		8030	Universitària	Treballador per compte aliè		Sí
3719436902	60358171	27/01/2015 16:54:07	27/01/2015 16:56:31					No hi ha problemes importants			Manca d'oferta pública / cooperativa				Excés de pisos buits		Adequada					Desigualtat entre escoles		Adequada				Durada dels temps d'espera				Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós							Cap			Biblioteques						Insuficients	Adequades	Sí			62	Dona		El Putxet i el Farró		8022	Universitària	Treballador per compte aliè		No
3719408216	60358171	27/01/2015 16:45:50	27/01/2015 16:49:51					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places						Molt dolenta	Manca de centres d'atenció primària			Durada dels temps d'espera				Elevades	Dolenta	Molt alt	Perjudicial	Nivell excessiu			Saturació dels espais públics					Parcs / zones verdes					Places		Molt insuficients	Insuficients	Sí			39	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte aliè		Sí
3719354552	60358171	27/01/2015 16:30:27	27/01/2015 16:35:59					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Dolenta						Manca de Instituts Públics propers	Bona								Elevades	Adequada	Molt alt	Ni perjudicial ni beneficiós											Centres Civics				Institut Públic	Insuficients	Insuficients	Sí	Soroll i contaminació a la Ronda de Dalt	Contrucció del Institut Vallcarca i cobrir la ronda de dalt allà on fos posible, guanyant en qualitat de vida i en espai pel barri.	41	Home		Vallcarca i els Penitents		8023	Secundària	Treballador per compte aliè		Sí
3719232649	60358171	27/01/2015 15:54:22	27/01/2015 15:57:05					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra			Dificultats accés als crèdits					Dolenta	Poques places						Dolenta	Manca de centres d'atenció primària		Manca de serveis d'urgències					Massa elevades	Dolenta	Baix	Beneficiós		Nivell insuficient							Parcs / zones verdes	Biblioteques	Centres Civics	Zones per a esports		Places		Insuficients	Insuficients	Sí	Inseguretat		34	Home		Sants-Badal		8028	Universitària	Treballador per compte aliè		No
3719120168	60358171	27/01/2015 15:17:54	27/01/2015 15:25:24					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra							Pisos turisticos	Dolenta	Poques places						Dolenta				Durada dels temps d'espera		Problemes de qualitat		Elevades	Molt dolenta	Molt alt	Perjudicial	Nivell excessiu				Sorolls				Parcs / zones verdes			Zones per a esports				Insuficients	Insuficients	Sí	Falta de limpieza, cada vez mas servicios para el turismo.	Badenes en las calles peatonales por q los coches/motos generalmente van mucho mas rapido que los 10Km/h que corresponde.	40	Home		La Vila de Gràcia		8012	Universitària	Treballador per compte aliè		No
3718974760	60358171	27/01/2015 14:28:14	27/01/2015 14:36:11					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra								Dolenta				Mala qualitat de l'ensenyament			Adequada				Durada dels temps d'espera				Elevades	Molt dolenta	Alt	Perjudicial	Nivell excessiu			Saturació dels espais públics								Zones per a esports	Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	saturación aceras vía laietana		69	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Jubilat / Pensionista		Sí
3718918842	60358171	27/01/2015 14:08:43	27/01/2015 14:12:49					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós				Saturació dels espais públics	Sorolls				Parcs / zones verdes		Centres Civics					Molt insuficients	Insuficients	Sí			34	Dona		La Vila de Gràcia		8012	Universitària	Treballador per compte aliè		No
3718907753	60358171	27/01/2015 14:04:54	27/01/2015 14:07:01					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra								Dolenta					Desigualtat entre escoles		Bona								Elevades	Dolenta	Baix	Ni perjudicial ni beneficiós									Parcs / zones verdes			Zones per a esports				Insuficients	Adequades	Sí			46	Home		La Vila de Gràcia		8012	Universitària	Treballador per compte aliè		Sí
3718813611	60358171	27/01/2015 13:18:30	27/01/2015 17:41:30						Relació qualitat-preu del lloguer / compra								Bona	Poques places						Adequada				Durada dels temps d'espera				Massa elevades	Adequada	Normal	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes	Biblioteques	Centres Civics					Molt insuficients	Insuficients	Sí	Per la ciutat sobretot el preu del transport. També necessitem un sistema EFICIENT i SENZILL per a que els ciutadans, de forma anónima puguin plantejar idees , propostes i problemes.,		31	Home		El Guinardó		8031	Secundària	Treballador per compte propi		No
3718679709	60358171	27/01/2015 12:26:40	27/01/2015 12:33:49					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta		Lluny de casa			Desigualtat entre escoles		Adequada				Durada dels temps d'espera				Adequades	Dolenta	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics									Zones de jocs per a nens	Places		Insuficients	Insuficients	Sí			37	Home		La Nova Esquerra de l'Eixample		8015	Universitària	Treballador per compte aliè		No
3718668659	60358171	27/01/2015 12:21:07	27/01/2015 12:24:15					No hi ha problemes importants	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra						A més a més dels apartaments turístics	Bona							Bona								Elevades	Dolenta	Alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics												Insuficients	Insuficients	Sí			36	Home		Sant Pere, Santa Caterina i la Ribera		8003	Universitària	Treballador per compte propi		No
3718609057	60358171	27/01/2015 11:51:25	27/01/2015 11:57:17					Hi ha alguns problemes			Manca d'oferta pública / cooperativa				Excés de pisos buits		Adequada			Estat dels edificis i instal·lacions				Dolenta		Manca de places/serveis hospitalaris	Manca de serveis d'urgències					Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics											NO PENSEM AMB LA GENT GRAN I AQUESTBARRI ESTA PLE: FALTEN RESIDENCIES I CENTRES DE DIA	Molt insuficients	Adequades	Sí	LA ATENCIÓ SANITARIA A INMIGRANTS  I L' ATENCIO I SEGUIMENT A PERSONES GRANS QUE VIUEN SOLES	La obligatorietat de rendir comptes a nivell municipal i si no es cumpleix fora. Així ara tindriem la residencia Alchemika en funcionament	51	Dona		El Clot		8026	Universitària	Treballador per compte aliè		Sí
3718539083	60358171	27/01/2015 11:11:22	27/01/2015 11:23:33					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada	Poques places						Molt dolenta	Manca de centres d'atenció primària			Durada dels temps d'espera				Elevades	Molt dolenta	Molt alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)		Sorolls				Parcs / zones verdes				Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	la suciedad de las calles.		37	Dona		La Vila de Gràcia		8012	Universitària	Treballador per compte aliè		Sí
3718528701	60358171	27/01/2015 11:04:42	27/01/2015 11:16:39					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra				Condicions dels habitatges				Dolenta	Poques places			Mala qualitat de l'ensenyament		Distrubució per distrites de les escoles, enlloc de per cercania al domicili	Dolenta	Manca de centres d'atenció primària		Manca de serveis d'urgències	Durada dels temps d'espera		Problemes de qualitat		Massa elevades	Molt dolenta	Molt alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)								Centres Civics					Molt insuficients	Molt insuficients	Sí	Necessitem més ajudes per les persones sense llar que viuen al barri	Sí, peatonalització de carrers. Canviar L'estació de bomber a un altre lloc a fora de la ciutat. Necessitem més organització del veins al barri.	38	Dona		La Nova Esquerra de l'Eixample		8015	Universitària	Treballador per compte aliè		Sí
3718454567	60358171	27/01/2015 10:16:15	27/01/2015 10:24:07					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits			Poques places	Lluny de casa					Dolenta				Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Adequada	Alt	Ni perjudicial ni beneficiós							Cap			Biblioteques			Zones de jocs per a nens			Molt insuficients	Insuficients	Sí	El disseny dels espais/edificis nous, no respecte la identitat del barri.	Fer consultes sobre temes importants als  veins.	38	Dona		El Guinardó		8041	Universitària	Treballador per compte aliè		Sí
3718452158	60358171	27/01/2015 10:13:40	27/01/2015 10:20:02					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Dolenta	Poques places				Desigualtat entre escoles		Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Adequada	Alt	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls				Parcs / zones verdes					Places		Molt insuficients	Insuficients	Sí			51	Dona		Sant Antoni		8015	Secundària	Treballador per compte aliè		No
3718449260	60358171	27/01/2015 10:12:31	27/01/2015 10:18:34					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra				Desnonaments	Excés de pisos buits	Crec que s'hauria de promoure els lloguers, perquè no siguin tant cars ni contractes tan curts i abusius	Adequada	Poques places				Desigualtat entre escoles		Adequada		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Massa elevades	Adequada	Normal	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics											escoles bressols, escoles de música, escoles d'idiomes	Insuficients	Insuficients	Sí			41	Dona		El Baix Guinardó		8025	Universitària	Altres (especifiqueu)	treballo per compte aliè a temps parcial, la resta a casa i voluntariat	Sí
3718318320	60358171	27/01/2015 08:35:32	27/01/2015 08:51:36					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa					Augment desmesurat dels lloguers a causa de l'ús turístic de molts habitatges	Dolenta	Poques places						Adequada			Manca de serveis d'urgències					Massa elevades	Dolenta	Normal	Perjudicial	Nivell excessiu			Saturació dels espais públics				Manca de comerç de proximitat que cobreixi les necessitats bàsiques dels veïns/es en substitució d'un comerç encarat al turisme i als compradors ocasionals (grans multinacionals, botigues de souvenirs, gelats, gofres...etc etc)			Centres Civics				En general, punts de trobada o centres socials on nens, joves i adults puguin decidir (és a dir, autogestionats) sobre el que s'hi fa i participar-hi activament.	Molt insuficients	Insuficients	Sí	L’explotació mercantilista de l’espai públic i la precarietat laboral en les botigues del barri (la majoria d'elles multinacionals, però moltes d'elles vinculades també a la indústria turística o la restauració)	Aturar la proliferació d’apartaments turístics i habitatges d'ús turístic, una taxa turística real dedicada a anivellar l'impacte turístic que provoca el turisme a la gent i els barris	25	Home		El Barri Gòtic		8002	Universitària	Estudiant		Sí
3718285544	60358171	27/01/2015 07:30:00	27/01/2015 08:14:38					Hi ha greus problemes	Relació qualitat-preu del lloguer / compra							pisos turístics a preus desorbitats,  naus industrials sobrepoblades i en condicions infra-humanes...s	Dolenta	Poques places				Desigualtat entre escoles		Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera	Problemes d'atenció / tracte			Massa elevades	Dolenta	Alt	Perjudicial	Nivell excessiu		Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls				Parcs / zones verdes				Zones de jocs per a nens	Places	mes horts uebans	Insuficients	Adequades	Sí	treballs de qualitat que permetin conciliar		34	Dona		El Parc i la Llacuna del Poblenou		8005	Universitària	Treballador per compte aliè		Sí
